state_abbrev,state,unauthorized_pop,share_of_total
US,United States,13738000,1.0
CA,California,2910000,0.21180280836020157
TX,Texas,1966000,0.14311376916421822
FL,Florida,1223000,0.08903753633795389
NY,New York,836000,0.060852579487460014
IL,Illinois,588000,0.04276689963938745
GA,Georgia,479000,0.03484368706381762
NJ,New Jersey,476000,0.03466895115397946
NC,North Carolina,450000,0.032751216354465894
MA,Massachusetts,388000,0.028220588272225084
MD,Maryland,373000,0.02716684447801587
VA,Virginia,361000,0.026248427294921058
WA,Washington,344000,0.025052150534640567
AZ,Arizona,307000,0.022329684260836712
PA,Pennsylvania,250000,0.018209367104059657
CO,Colorado,230000,0.01676232374957276
NV,Nevada,199000,0.014475980254441837
CT,Connecticut,198000,0.014426365592435715
TN,Tennessee,186000,0.013572339738581832
OR,Oregon,155000,0.011249083691949581
SC,South Carolina,139000,0.010113442221356732
UT,Utah,138000,0.010023035222806847
IN,Indiana,137000,0.009988961538409745
OK,Oklahoma,110000,0.008029619137953255
LA,Louisiana,101000,0.007351603044561224
MN,Minnesota,100000,0.00730679989833944
OH,Ohio,90000,0.006576191972055065
KS,Kansas,87000,0.0063210433317031686
MI,Michigan,80000,0.005801093902845014
AL,Alabama,77000,0.005590573709200794
AR,Arkansas,72000,0.0052466049242188085
WI,Wisconsin,69000,0.00501357033069417
MO,Missouri,65000,0.00473031690601046
NM,New Mexico,63000,0.004609213747002857
KY,Kentucky,61000,0.004472402190018551
NE,Nebraska,59000,0.004272713366248905
RI,Rhode Island,59000,0.004310841535202553
IA,Iowa,51000,0.0037042775430798994
HI,Hawaii,42000,0.0030825802055478085
ID,Idaho,40000,0.00291283779015451
DE,Delaware,33000,0.0023999855290569145
DC,District of Columbia,31000,0.0022296462236570873
MS,Mississippi,27000,0.0019782536228584707
NH,New Hampshire,19000,0.0014003476301956317
AK,Alaska,14000,0.0010477312192653965
SD,South Dakota,11000,0.0007791525537665961
ME,Maine,10000,0.0007578828879241837
WY,Wyoming,8000,0.0005924570063585892
ND,North Dakota,7000,0.0004916845033050782
WV,West Virginia,7000,0.00048524973786883845
MT,Montana,6000,0.00045360000922995764
VT,Vermont,5000,0.00037568402593865594
